a matter of speculation 	n. 推断	supposition
allocation	n.分布，分配	distribution
ancestor	n.祖先，前辈	forefather/progenitor
anonymous	adj.匿名的，无名的	nameless/incognito
arise	v.出现，发生	come about
back up 	n.支持，援助	support
concise	adj. 简明的，简要的	simple
confined to	v.仅限于	limited to
consistent	adj.始终如一的	uniform
controversy	n.冲突，争论	conflict/ disagreement
convey	v.传达，沟通	communicate
correspondingly	adv.相应地，对应地	accordingly
crisis	n.危机，混乱	disturbance
cuing	n.暗示	hint/clue
culminate	v.达到顶点	climax
culmination	n. 最高点	high point
designate	v. 指定，选派	assign
discipline	v.惩罚	punish
dispersed 	vi.分散	scatter
diversify	vt.使多样化	vary
divert	v.转向，转移	deflect
dramatically	adv.引人注目地	noticeably
edible	adj.可食用的	eatable
enormous	adj.巨大的	huge
epitomize	v.摘要，概括	exemplify
erroneous	adj.错误的，不正确的	wrong
faithful 	adj.忠诚的，忠实的	loyal
figuring out	v.计划	mapping
frigid	adj.寒冷的	cold
giant	adj.巨大的	huge
halt	vi.停止，终止	stop
immense	adj.巨大的	enormous
in tandem	adv.共同，一起	together
indiscriminately	adv.无差别的，随机的	at random
justly	adv.正当地，公证地	rightly
key	adj.关键的	critical
merit	n.价值	worth
modest 	adj.谦逊的	small
monopoly in	n.控制，垄断	domination
monumental	adj.作为纪念的，重要的	significant
notion	n.概念，想法	idea
now and then	adv.偶尔	occasionally
obviously 	adv.明显的	clearly
persistence 	n. 持续	continuing
plausible	adj. 看上去合理的	apparently reasonable and valid
preeminent	adj.优秀的，重要的	important
presumably	adv.大概	probably
prime	adj.主要的	main
radically	adv.根本地，完全地	extremely
rational	adj.合理的，理性的	sensible/logical
replenish	v.再储备，再装满	restore
scatter	v. 散播，传播	diffuse/disperse
scenario 	n.情形	situation
snaking	adj.蜿蜒的	winding
stagnation	n.停滞，不活动	inactivity
steady	adj. 稳定的，稳固的	stable
stipulate	v.规定	require
substantial	adj.大量的，客观的	large amount/considerable
subtle	adj.精细的	small
suspend	v.悬浮，漂浮	float
sustainable	adj.可持续的	endurable
tactic	n.战略，策略	strategy
tangible	adj.实在的，有形的	real/ concrete
threshold	n.界限	limitation
to be sure	adv.必定	certainly
traumatic	adj.外伤的，令人心烦意乱的	upsetting
virtue	n.优点	merit
