primarily,"ad. 主要地,首先地,基本地"
suburban,"adj. 1 (住于) 郊外的,市郊的2 市郊特有的"
supernatural,"a. 超自然的,神奇的"
supportive,"adj. 1 有支持作用的,有支持力的2合作的"
supposedly,"adv. [修饰整句]一般相信,传闻"
surreptitious,"a. 秘密的,暗中的,偷偷摸摸的"
switch,"n. 开关,电闸,转换,软枝vt.转变,切换"
symbolic,"n. 代号a. 象征的,符号的"
symbolism,"n. 象征主义,符号论"
taunt,"n. 辱骂,嘲弄vt. 嘲弄,奚落a. 很高的"
telemetry,"n. 遥感勘测,自动测量记录传导"
tenuous,"a. 稀薄的,微细的,纤细的,脆弱的"
texture,"n. 织法,组织"
thereafter,"ad. 其后,从那时以后"
thoughtful,"a. 深思的,体贴的"
variable,"n. 变数,可变物a. 可变的,不定的,易变的"
vastness,"n. 巨大,广大,广漠"
venturesome,"a. 冒险的,冒危险的,不顾一切的"
verge,"n. 边缘,边界,杖vi. 接近,下沉,趋向"
violently,"a. 猛烈的,激烈的,极端的"
visionary,"a. 幻影的,幻想的,梦想的n. 空想家,梦想者"
wistful,"a. 渴望的,想望的"
withstand,"vt. 抵抗,对抗,经得起"
workshop,"n. 工厂,研讨会"
attorney,"n. 代理人,律师"
blindly,"ad. 轻率地,盲目地,无分别地"
bombast,n. 夸大的言辞
cantankerous,"a. 心地不良的,爱吵架的"
carving,"n. 雕刻品,雕刻,雕刻术"
close-up,"n. 特写镜头,仔细的观察,小传"
cohesive,a. 粘着的
collaborate,"vi. 合作,通敌"
collective,"a. 集体的,聚集的,共同的"
disillusion,"n. 觉醒,幻灭vt. 使醒悟,使幻想破灭"
disrespect,"n. 不敬,失礼,无礼"
aboard,"ad. 在船上,在火车上,在飞机上"
accentuate,"vt. 以重音念,强调,重读"
actuality,"n. 实在,现实,现状"
adequately,"ad. 足够地,充分地,适当地"
adhere,"vi. 依附,粘着,坚持,"
adhesive,"a. 粘着的,有粘性的n. 粘剂"
adorn,"vt. 装饰,佩戴"
affirm,"v. 断言,确认,肯定"
anecdotal,"a. 逸话的,多逸事趣闻的,轶事一样的"
animosity,"n. 仇恨,憎恶,敌意"
oppression,"n. 压抑,沉闷,压迫手段"
ornament,"n. 装饰,装饰,教堂用品vt. 装饰,修饰"
patriot,n. 爱国者
plausible,"a. 似真实的,似合理的 ,巧嘴的"
pretentious,"a. 自负的,自任不凡的,夸耀的"
rightly,"ad. 端正地,正当地,正确地"
roughly,"ad. 概略地,粗糙地"
salvage,"n. 海上救助,抢救,打捞vt. 海上救助,抢救"
scrupulous,"a. 小心谨慎的,细心的"
vividly,"adv. 鲜明地,清晰地,生动地,活泼地"
,
buoyancy,"n. 1 浮力; 浮性2 乐天的性格，恢复力,开朗"
calculation,"n. 计算,考虑,计算的结果"
cargo,n. 货物
censor,"n. 检查员vt. 检查,审查,删改"
cerebral,a. 脑的
chaotic,"a. 混乱的,无秩序的"
charity,"n. 慈悲,博爱,慈善团体,施舍"
chestnut,"n. 栗子,栗树,栗色a. 栗色的"
chop,"n. 厚肉片,排骨,砍vt. 剁碎,砍,切"
cling,"vi. 粘紧,附着,紧贴,坚持"
commodity,"n. 日用品,商品,有用的物品"
competent,"a. 能干的,胜任的,有权能的,足够的"
complacent,"a. 满足的,自满的,得意的"
comply,"vi. 顺从,答应"
concession,"n. 特许,让步,认可"
condone,"vt. 赦,宽恕"
confess,"v. 承认,坦白,忏悔,供认"
confession,"n. 自认,自白,招供"
conformity,"n. 适合,一致,相似"
conjure,"vt. 以咒文召唤,变戏法,想象vt. 祈求,恳求"
constituent,"n. 成分,选民,构成物a. 构成的,组织的,有提名权的"
deliberation,"n. 熟虑,熟思,协议"
depletion,"n. 消耗,耗尽,放血"
descend,"vi. 下降,传下,屈尊,袭击vt. 下降"
descent,"n. 降落,家系,侵袭,血统"
destiny,"n. 命运,定数"
detach,"vt. 分离,分遣"
diagnosis,n. 诊断
digress,"vi. 走向岔道,离题,扯到枝节上"
discard,"vt. 丢弃,抛弃,解雇"
discontent,n. 不满
discrete,a. 不连续的a. 离散的
disorder,"n. 杂乱,混乱vt. 扰乱,使失调"
disparate,"a. 不同的,全异的,乖离的n.无法相比的东西"
dispense,"vt. 分发,分配"
dissolve,"v. 溶解,解散"
distortion,"n. 扭曲,变形,曲解"
downright,"a. 明白的,率直的,显明的ad. 全然,彻底,完全"
duplicate,"n. 副本,复本,复制品vt. 复制"
dwarf,"n. 矮子,侏儒v. (使)变矮小"
earnest,"n. 定金,诚挚,认真a. 认真的,热心的,重要的"
edify,"vt. 启迪,熏陶,教诲"
flexibility,"n. 弹性,适应性"
footnote,n. 脚注
forebode,"v. 预示,预兆,预感"
fraternity,"n. 友爱,互助会,兄弟会"
futile,"a. 无用的,琐细的,无效果的"
generator,"n. 产生器,发电机,生产者"
geneticist,n. 遗传学者
grandiose,"a. 宏伟的,宏大的,堂皇的,铺张的"
grudge,"n. 怨恨,恶意vt. 怀恨,嫉妒,吝惜"
habituate,"vt. 使习惯于,使熟习于"
hack,"n. 劈,砍,砍痕,出租车vt. 劈,砍,出租"
hedge,"n. 树篱,障碍,套头交易vt.用树篱围,妨碍"
hopper,n. 单足跳者
hound,"n. 猎犬vt. 带猎犬狩猎,追捕,激励,使追逐"
humdrum,"a. 平凡的,单调的,无聊的n. 平凡,单调,无聊"
illogical,"a. 不合逻辑的,不合理的"
illusory,"a. 产生幻觉的,幻影的,错觉的"
illustrator,"n. 插画家,图解者,说明者"
impart,"vt. 给予,传授,告知"
impersonal,"a. 客观的,和个人无关的,非人称的"
imprint,"vt. 印,印记号,铭刻n. 印,印记,痕迹,版本说明"
likelihood,"n. 可能,可能性"
liken,"vt. 比喻,比拟,使象"
likewise,"ad. 同样地,也conj. 而且"
loquacious,"a. 多嘴的,好辩的,吵闹的,潺潺的"
lucrative,"a. 有利益的,获利的,合算的"
luminescent,"a. 发冷光的,发光的"
magnify,"vt. 放大,扩大,赞美,夸大vi. 有放大能力"
manorial,a. 庄园的
mechanize,"vt. 使机械化,用机械装置,机动化"
mediate,"a. 居间的,间接的vt. 斡旋vi.调解"
meditation,"n. 沉思,冥想"
merge,"vt. 使合并,使消失,吞没vi.合并失v. 合并"
microorganism,"n. 微生物,微小动植物"
mistakenly,"adv. 错误地,误,错,误解地"
momentum,"n. 动力,要素"
monk,"n. 修道士,僧侣,和尚"
mote,"n. 尘埃,微粒"
motel,n. 汽车旅馆
multiplicity,"n. 多数,重复,多样"
mystic,"a. 神秘的,奥秘的n. 神秘主义者"
negligible,"a. 可以忽略的,不足取的,无用的"
personification,"n. 拟人,人格化,拟人法"
philanthropic,a. 博爱的
poke,"n. 刺,戳,懒汉,袋子vt. 戳,捅,拨开"
positively,adv. 明确地; 断然地2 实际上; 建设性地
poultry,n. 家禽
practically,"ad. 实际地,实用地,事实上"
prehistoric,"adj. 1 史前的2 太古的,旧式的,古老的"
primate,"n. 大主教,首席监督,灵长类的动物"
probability,"n. 可能性,或然率,几率,概率"
profundity,"n. 深,深度,深厚,深刻,深奥"
prohibition,"n. 禁令,禁止"
prominence,"n. 突起,突出,凸出,突出物"
pronouncement,"n. 宣言,宣告,发表"
propagate,"vt. 繁殖,传播,传送vi. 繁殖,蔓延"
proposition,"n. 建议,命题,主张vt. 向...提议"
prosaic,"a. 散文的,散文体的,散文性的"
prosperous,"a. 成功的,繁盛的,顺利的,幸运的"
pundit,"n. 学者,梵学者,博学的人,权威"
purity,"n. 纯净,纯正,纯粹"
rack,"n.架,行李架, ,vt. 放在架上"
ramble,"n. 漫步,闲谈vi. 漫步,漫谈,漫游vt. 闲逛于"
revolve,"v. (使)旋转,考虑,循环出现"
ridge,"n. 脊,山脊,山脉"
rite,"n. 仪式,典礼,礼拜式,惯例,习俗"
rivalry,"n. 敌对,竞争,对抗"
rodent,"a. 咬的,臼齿类的n. 啮齿动物"
sardonic,"a. 嘲笑的,冷笑的,讥讽的"
saxophone,n. 萨克斯管
scavenger,"n. 1 吃腐肉腐尸的动物2 捡破烂者,收购废物者"
scenic,"a. 风景好的,戏剧性的,舞台的,布景的"
scoff,"n. 嘲笑,嘲弄,食品,笑柄v嘲笑,嘲弄,贪吃,狼吞虎咽"
scrap,"n.碎片,残余物,片断vt. 扔弃,敲碎"
self-determination,"n. 自主,自我决定"
self-serving,"a. 自私的,自私自利的"
sensationalism,"n. 1 煽情主义,激情主义,哗众取宠2 感觉论"
shepherd,"n. 牧羊者,牧师,指导者vt. 看守,领导,指导,牧羊"
shin,"n. 胫骨v. 攀,爬"
shroud,"n. 寿衣,覆盖物,船之横桅索vt.遮蔽,隐藏,覆盖"
silently,"ad. 默默地,静静地"
skier,n. 滑雪的人
sonnet,n. 十四行诗
specimen,"n. 样品,标本,试料"
temperate,"a. 温和的,适度的,有节制的"
thematic,"a. 题目的,主题的,主旋律的"
therapeutic,"a. 治疗的,治疗学的"
therapy,n. 治疗
tile,"n. 砖瓦,瓷砖,瓦片vt.铺以瓦n.平铺"
timid,"a. 胆小的,羞怯的"
token,"n. 表征,记号,代币a. 象征的,表意的"
transgression,"n. 违反,犯罪,逸出"
tribute,"n. 贡物,礼物,感谢辞"
triumph,"n. 凯旋,胜利,欢欣vi. 得胜,成功"
tuck,"n. 缝摺,活力,食品vt. 打摺,卷起"
twist,"n. 一扭,扭曲,曲折vt. 拧,扭曲,捻,编织"
uncover,"vt. 揭露,揭开,暴露vi.揭去盖子"
undaunted,"a. 大无畏的,勇敢的"
undoubtedly,adv. 毋庸置疑地; 确实地
unduly,"ad. 不适当地,过度地"
unearth,"vt. 发掘,掘出,发现,揭露,从洞中赶出"
unease,n. 不安
unidentified,a. 未经确认的
uninformed,adj. 1 不具有充分知识的2 未得到通知的
universally,"adv. 一般地,无例外地,普遍地"
wrath,"n. 愤怒,激怒,猛烈的力量,"
yeast,"n. 酵母,发酵粉"
bane,"n. 毒药,灭亡的原因,灭亡,祸根"
belligerent,"a. 好战的,交战的,交战国的"
circumscribed,adj. 外接的
cognitive,"a. 认知的,认识的,有认识力的"
comedian,n. 喜剧演员
comprise,"vt. 包含,构成"
corroborate,"vt. 使坚固,确证"
diffident,"a. 无自信的,客客气气的,羞怯的"
dreadful,a. 可怕的
equivocate,"vi. 说模棱两可的话,支吾"
expanse,"n. 宽阔的区域,宽阔"
flirt,"n. 卖弄风骚的人,调情的人vi. 调情,玩弄,摆动"
imperceptible,"a. 不能感知的,不知不觉的,微细的"
impractical,"adj. 1不切实际的,昧于实际的 2不能实行的,不实用的"
indefinitely,"adv. 1 不明确地,模糊地2 无期限地"
indirectly,"adv. 间接地, 拐弯抹角地"
informal,"a. 非正式的,不拘礼的,通俗的"
ingenious,"a. 灵敏的,精巧的,聪明的"
inseparable,a. 不能分的
abstruse,"a. 难解的,深奥的"
absurdity,"n. 荒谬,悖理,荒谬的事"
academia,"n. 学术界,学术环境"
accompaniment,"n. 自然的伴随物,陪伴物,伴奏"
acquaint,"vt. 使熟知,通知"
actively,"ad. 活跃地,积极地"
adaptability,n. 适应性
administer,"vt. 管理,治理,执行vi. 管理,有助于"
admonition,"n. 警告,劝告,训诫"
adulthood,n. 成人期
advent,"n. 来到,来临,耶稣降临时"
reenact,vt. 再制定 (法律)  n. ~ment
regressive,"a. 后退的,逆行的,退化的,回归的"
rehabilitate,"vt. 恢复原状,修复,使恢复"
reverent,"a. 尊敬的,虔诚的"
revitalize,"vt. 使恢复生气,使复活,使复兴"
singular,"n. 单数a. 异常的,单一的"
sinister,"a. 不吉利的,凶恶的,左边的"
vigorous,"a. 精力充沛的,元气旺盛的,有力的"
vindictive,"a. 有报仇心的,怀恨的,惩罚的"
artistically,"ad. 有艺术地,在艺术上"
ascetic,"n. 禁欲者,修道者a. 修道的 ,苦行"
asphalt,n. 柏油a. 用柏油铺成的vt.以柏油铺
assimilation,"n. 同化,同化作用,消化"
assurance,"n. 保证,确信,保险"
atomic,"a. 原子的,微粒的"
atop,ad. 在顶上prep. 在...的顶上
audacious,"a. 大胆的,无礼的,无耻的"
auditory,"a. 耳的,听觉的"
auntie,"n. 伯母,阿姨,姑妈"
aura,"n. 气味,气氛"
authorize,"vt. 授权与,批准,委托代替"
availability,"n. 有效,有用,有益"
avert,"vt. 转开,避免,防止"
bacillus,"n. 杆状菌,细菌"
bald,"a. 秃头,光秃的,单调的,赤裸的"
bartender,"n. 酒保, 酒吧间销售酒精饮料的人,酒吧侍者"
believer,n. 信徒
benefactor,"n. 恩人,捐助者,赠送者"
benevolent,a. 慈善的
beverage,n. 饮料
chore,"n. 零工,家务"
chorus,"n. 合唱队,齐声v. 齐声说道,合唱"
circuitry,"n. 电路,线路"
circulation,"n. 流通,循环,发行量"
cirque,"n. 天然的圆形剧场,圆环,圈谷"
citation,"n. 引用,引证,引用文"
citizenry,n. 市民
clan,"n. 氏族,宗族,党派"
client,"n. 客户,顾客,委托人n. 客户"
climber,n. 登山者
clip,"n. 修剪,夹,回形针 vt.修剪,痛打"
cloak,"n. 斗篷,宽大外衣,掩护vt. 遮掩,隐匿"
cloy,"vt. 使吃饱,使过饱,使厌腻vi. 吃饱"
coarse,"a. 粗糙的,下等的,粗俗的a. 粗略的"
colonist,"n. 殖民地居民,殖民者"
committee,n. 委员会
compassionate,"a. 慈悲的,富于同情心的vt.怜悯,同情"
compatible,"a. 能共处的,可并立的,适合的"
compliant,"a. 顺从的,适应的"
complimentary,"a. 问候的,称赞的,夸奖的"
concede,"vt. 承认,退让vi. 让步"
crawl,"n. 爬行,匍匐而行,围栏v. 爬行"
credential,"n. 国书,凭据,印信"
crevice,n. 裂缝
cunning,"a. 狡猾的,巧妙的,可爱的"
curative,"a. 治病的,有治病效力的n. 医药,治疗药"
cynicism,n. 犬儒主义
decipher,"vt. 译解,解释n. 密电译文"
decisive,"a. 决定性的,坚定的,果断的"
decorative,a. 装饰的
defensibility,"n. 可防卫性,防卫的可能性"
defensible,"a. 可防卫的,可拥护的,可辩护的"
deference,"n. 顺从,尊重"
deferential,a. 恭敬的
definitely,"adv.  明确地,明白地; 确实地"
deformity,"n. 残缺,畸形,残障者"
delineate,"vt. 描绘...的轮廓,描绘,描写"
demise,"n. 崩,薨,死亡vt. 让渡,遗赠,转让"
demolish,"vt. 毁坏,破坏,粉碎"
demolition,"n. 破坏,毁坏,毁坏之遗迹"
demonstrative,"a. 说明的,指示的"
deprivation,"n. 剥夺,剥夺官职,免职"
enforcement,"n. 执行,强制"
engagement,"n. 诺言,约会,婚约,交战"
ensue,"vi. 跟着发生,继起vt. 追求"
entrench,"vt. 围以壕沟,防护,保卫,使盘踞vi.侵犯"
episode,"n. 插曲,插话,有趣的事件,一段情节"
erase,"vt. 抹去,擦掉"
erudite,a. 博学的n. 博学者
evenhanded,"a. 公平的,公平无私的"
eventual,"a. 最后的,终于的,可能的"
excursion,"n. 远足,游览,短程旅行"
exempt,"n. 免税者,被免除义务者a. 免除的vt.使免除"
expedient,"n. 权宜之计,临时手段a. 权宜的,方便的,有用的"
expedite,"vt. 加快,促进,派出a. 畅通的,无阻碍的,迅速的"
faction,"n. 小派系,内讧"
fad,"n. 时尚,一时流行的狂热"
falsify,"vt. 伪造,歪曲vi. 说谎"
familial,"a. 家族的,家庭的"
feign,"vt. 假装,装作vi. 作假"
flatter,"vt. 过分夸赞,奉承,阿谀,使高兴"
flaunt,"n. 炫耀,飘扬v. 炫耀,飘扬"
flout,"vt. 嘲笑,愚弄vi.表示轻蔑n. 嘲笑,愚弄,轻视"
harmonize,"vi. 协调,以和声唱vt. 使一致,使和谐"
haughty,"a. 傲慢的,骄傲的,不逊的"
haunt,"n. 常到的地方,生息地vt.常到vi.出没"
headstrong,"a. 顽固的,刚愎的,任性的"
herbivore,n. 草食动物
hest,"n. [古]命令,训谕 (behest)"
homogeneous,"a. 同种的,同质的,均质的"
hue,"n. 样子,色,色彩,叫声n. 色调"
humiliation,"n. 耻辱,丢脸,谦卑"
icon,"n. 圣像,画像,图标,偶像,肖像n. 像标"
idealism,"n. 1 理想主义2观念论,唯心论"
imaginable,"a. 可想象的,可能的"
immutable,"a. 不可变的,不变的,不能变的"
impair,"vt. 损害,减少,削弱"
impartial,"a. 公平的,不偏不倚的"
impassioned,"a. 感激的,狂热的,热烈的"
impend,"vi. 迫近,逼迫,悬挂"
implicate,"vt. 含意,暗示,牵连n. 包含的东西"
imprisonment,"n. 监禁,下狱,坐牢"
impugn,"vt. 责难,抨击,攻击"
inauguration,"n. 1 就任,就职[of]2 正式开始,开幕,成立"
intervene,"vi. 插入,调停,干涉"
intervention,"n. 插入,介入,调停"
intonation,"n. 朗诵,语调,唱"
invocation,"n. 祈祷,符咒"
ire,n. 愤怒
irrationality,"n. 不合理,无条理,无理性"
irresponsible,"a. 不负责任的,不可靠的"
jeer,"n. 嘲笑,讥讽,戏弄,v.嘲弄,揶揄"
jigsaw,n. 竖锯vt. 用竖锯锯
juxtaposition,"n. 并排,并置,并列"
knot,"n. 结,群,困难v. 打结,(使)纠缠"
lane,"n. 小路,巷,弄,单行道"
lean,"n. 瘦肉,倾斜,弯曲 vi.倚靠,倾斜,依赖"
ledger,"n. 分类账,分户总账,底账,横木"
lime,"n. 石灰,粘鸟胶,酸橙"
longevity,"n. 长命,长寿,寿命"
lucid,"a. 清澈的,透明的,透彻的"
luxurious,"a. 豪华的,奢侈的,放纵的"
lyceum,"n. 学园,学会"
lyric,"n. 抒情诗,歌词a. 抒情的"
mainstream,n. 主流
nonsense,"n. 无意义的事,荒谬的言行,荒唐"
novice,"n. 新手,初学者"
nutritious,"a. 有营养成分的,营养的"
observable,"adj. 1可观察的,看得见的2该注意的3该遵守的"
obstinacy,"n. 倔强,顽固,固执"
option,"n. 选择权,挑选n. 选项"
ostentatious,"a. 装饰表面的,夸示的,华美的"
outlet,"n. 出口,发泄的方法,代销店"
overrate,"vt. 评价过高,高估,估价过高"
override,"vt. 弃绝,藐视,奔越过,践踏"
overview,"n. 概观,总的看法n. 概述"
pacifist,"n. 和平主义者,反战论者,不抵抗主义者"
painterly,"a. 画家的,绘画的,强调色彩的"
panic,"n. 恐慌,惊惶a. 惊慌的vt. 使惊慌"
paperback,"n. 平装本,纸面本"
papyrus,"n. 纸草,草制成之纸"
paralyze,"vt. 使瘫痪,使麻痹"
paramount,"n. 首长,最高当局a.最重要的,最高的"
parish,n. 教区
pastime,"n. 消遣,娱乐,游戏"
patch,"n. 片,补缀,碎片,傻瓜vt.掩饰,平息"
preempt,"vt. 先买,先取vi. 阻击叫牌"
preface,"n. 序文,绪言,前言vi. 作序vt. 给...作序"
premise,"n. 前提,房屋vt. 提论,预述,假定vi. 作出前提"
preoccupy,"vt. 先占领,先取,迷住"
presume,"vt. 假定,推测,擅自,意味着vi. 擅自行动"
prior,"a. 更重要的,较早的,在先的ad.居先n. 院长"
privately,"adv. 私下地,个人地; 以私人身份"
proclaim,"vt. 宣布,公告,赞扬,表明,宣言"
progression,"n. 前进,连续,级数"
propaganda,"n. 宣传,宣传活动,宣传机关"
prophecy,"n. 预言,预言能力"
psych,"vt. 智胜,想出,精神分析治疗"
psychoanalysis,n. 心理分析
puppy,"n. 小动物,自负的青年"
quell,"vt. 压制,平息,减轻"
quizzical,a. 古怪的
radiate,"vt. 放射,散发,广播vi.发光a. 有射线的"
recapture,"n. 夺回vt.拿回,夺回,再体验"
recommendation,"n. 推荐,介绍,推荐信,劝告"
recovery,"n. 恢复,复原,痊愈,重获"
rectangular,"a. 矩形的,成直角的"
self-esteem,"n. 自尊,自负,自大"
sensational,"a. 使人感动的,非常好的"
sensible,"a. 有感觉的,有判断力的,明智的"
serene,"a. 宁静的,沉着的,晴朗的n. 晴朗"
serenity,"n. 宁静,沉着,晴朗"
setback,"n. 顿挫,挫折,退步"
shiny,"a. 有光泽的,发光的,辉煌的"
shrewd,"a. 精明的,锐利的,厉害的,机灵的"
shun,"vt. 避开,规避,避免"
simplify,"vt. 单一化,简单化"
simulate,"vt. 模拟,假装,模仿"
simulation,"n. 模拟,伪装,模仿"
sincere,"a. 诚实的,正直的,真挚的,纯净的"
situate,"vt. 使位于,使处于"
sneer,"n. 冷笑,嘲笑vi. 嘲笑,冷笑vt. 嘲笑着说"
soar,"n. 高扬,翱翔vi. 往上飞舞,高耸,翱翔"
sociable,"a. 好交际的,社交的,友善的n. 联谊会"
soothe,"vt. 缓和,使安静,安慰,奉承vi. 起安慰作用"
sovereign,"n. 元首,独立国a. 具有主权的,国王的"
spate,"n. 泛滥,洪水,一阵,大量"
specialization,"n. 特别化,特殊化,专门化"
surrender,"vt. 交出,放弃,听任,让与vi. 投降,自首n. 交出,放弃"
susceptible,"a. 易受影响的,易感动的,容许...的"
suspense,"n. 悬疑,焦虑,悬念,悬而不决"
sustenance,"n. 生计,食物"
swamp,"n. 沼泽,湿地vt. 淹没,击溃,清除,使陷于沼泽"
swiftly,"ad. 很快地,即刻"
swirl,"n. 漩涡,涡状形vt. 使成漩涡vi.盘绕,头晕"
symmetry,"n. 对称,调和,匀称"
synonymous,"a. 同义字的,类义字的,同义的"
synthesis,"n. 综合,组织,综合体"
tamper,"vi. 干预,玩弄,贿赂,窜改vt.窜改"
tedious,"a. 沉闷的,冗长乏味的"
teem,"vi. 充满,富于,涌现,倾注vt. 倒出"
tenacity,"n. 固执,不屈不挠,顽固,坚韧"
terminate,"a. 有结尾的,有限的vi.结束,终止vt.使停止"
thoroughgoing,a. 彻底的
threshold,"n. 门槛,入口,开端,阈"
thwart,"a. 横放的vt. 反对,阻碍,横过"
tolerant,"a. 宽容的,宽大的,默认的"
totalitarian,a. 极权主义的n. 极权主义者
tranquil,a. 安静的
verse,"n. 诗,韵文,诗句vt.用诗表达vi. 作诗"
vex,"vt. 使烦恼,恼怒"
victor,n. 胜利者a. 胜利者的
vigilant,"a. 警醒的,警戒着的,警惕的"
virtuoso,n. 艺术品鉴赏家
visualize,"vt. 使看得见,使具体化,想象vi.想象,显现"
vocalization,"n. 发声的样子,发声法,发声"
vocation,"n. 天命,天职,职业,行业,才能"
void,"n. 空虚,空间,空虚感,真空a.空的,无人的"
vow,"n. 誓约,誓言,许愿vi. 起誓,发誓,承认"
voyager,"n. 航行者,航海者"
wan,"a. 苍白的,无血色的,病态的,暗淡的"
warp,"n. 弯曲,歪曲，差vt.弄歪,翘曲"
warren,"n. 养兔场,拥挤的地方"
watercolor,n. 1水彩颜料2 水彩画3 水彩画法
wax,"n. 蜡,蜡状物,增加vi. 变大,增大,月亮渐满"
witty,"a. 富于机智的,诙谐的"
worsen,"vt. 使更坏,使恶化vi. 变得更坏,恶化"
wound,"n. 创伤,伤口,痛苦,伤害vt.伤害,损害"
wry,"a. 扭歪的,歪曲的,歪斜的;v扭曲,扭歪"
belated,a. 迟来的
gloom,"n. 忧沉,幽暗vi. 变忧沉,变黑暗vt. 使黑暗"
iconoclastic,"a. 偶像破坏的,打破旧习的"
ideology,"n. 观念学,空论,意识形态,思想"
impressionist,"n. 印象主义者,印象派作家"
improper,"a. 不合适的,错误的,不道德的"
incoherence,"n. 1 没有条理,不连贯, 2不连贯的思想"
indecisive,"a. 非决定性的,犹豫不决的,不明确的"
inexorable,"a. 无情的,冷酷的,不屈不挠的"
insidious,"a. 隐伏的,阴险的,狡猾的"
instinctive,"a. 本能的,天生的,直觉的"
introspection,"n. 内省,反省"
involuntary,"a. 自然而然的,无意识的,不随意的,偶然的"
languid,"a. 疲倦的,无力的,阴沉的"
latent,"a. 潜伏性的,隐藏的n. 隐约的指印"
lecturer,"n. 演讲者,讲师"
marginal,"a. 边缘的,末端的,有旁注的"
marvel,"n. 奇异的事物,罕见的例子vt.惊异于"
marvelous,"a. 令人惊异的,了不起的,不平常的"
maternal,"a. 母亲的,母系的,母方的"
meddle,"vi. 干涉,干预,乱搞"
misrepresent,"vt. 误传,不称职地代表"
accidentally,"ad. 偶然地,意外地"
apprehensive,"a. 惴惴不安的,敏悟的,有知觉的"
assiduously,"adv. 勤勉地, 恳切地"
abolition,"n. 废除,废除奴隶制度"
absolutist,"n. 专制主义者,专制政治论者,绝对论者"
accessory,"n. 附件,同谋a. 附属的,同谋的"
accordingly,"ad. 因此,于是,如前所说,相应地"
accusatory,"a. 非难的,问罪的,控诉的"
activate,"vt. 刺激,使活动,创设"
acumen,"n. 敏锐,聪明"
adulation,"n. 谄媚,奉承,阿谀"
adversity,"n. 不幸,灾祸"
aerodynamic,adj. 空气动力
afoot,"a. 徒步的 ,在进行中的ad.在准备中"
restlessness,n. 不安定; 烦躁不安; 躁动不安; 辗转不安
scornful,a. 轻蔑的
statistical,"a. 统计的,统计上的,统计学的"
swindle,"n. 骗取,欺诈,骗局v. 骗取,诈取"
unrecognizable,adj. 不可辨别的
vindication,"n. 辩护,拥护,辩明"
archaeology,n. 考古学
archetypal,a. 原型的
ardor,"n. 热心,热情"
artifice,"n. 技巧,巧妙,诡计"
artificiality,"n. 不自然,不自然之物,人造物"
aspersion,"n. 洒水,诽谤,中伤"
assault,"n. 攻击,突袭vt. 袭击,突袭vi. 动武"
atrophy,"n. 萎缩,萎缩症"
attachment,"n. 附着,附属物,爱慕"
auspicious,"n. 吉兆的,幸运的"
automatically,"ad. 自动地,机械地"
averse,"a. 不愿意的,反对的"
aversion,"n. 厌恶,讨厌的事,讨厌的人"
awaken,"v.唤醒,醒来,唤起"
axiom,"n. 自明之理,公理,格言"
backlash,"n. 反斜线,后座"
ballad,n. 歌谣
ballerina,n. 芭蕾舞女
bandleader,n. 领队;(尤指) 跳舞乐队之领队
barb,n. 倒钩vt. 装倒钩
batch,"n. 一次所烘的面包,一次所制之量"
botanist,n. 植物学家
bourgeois,"n. 中产阶级分子,商人a.中产阶级的,平庸的"
brevity,"n. 短暂,简短"
brink,"n. 边缘,水滨"
brook,n. 小溪vt. 容忍
brutality,"n. 残忍,无慈悲,野蛮的行为"
buck,"n. 元,雄鹿 ,谈话,自夸"
bud,"n. 芽,花蕾vi. 发芽,萌芽vt. 使发芽"
buffer,"n. 缓冲,缓冲区vt. 缓冲n. 缓冲区"
bugaboo,"n. 1 鬼怪,妖怪,吓人的东西2  (常指) 莫名的恐惧"
bulb,"n. 球茎,电灯泡"
bully,"n. 欺凌弱小者,土霸vt.威胁,恐吓,欺负"
burdensome,"a. 累赘的,恼人的,艰难的"
caller,"n. 访客,召集员,传唤员a. 新鲜的"
carefree,"a. 无忧无虑的,不负责的"
carp,"n. 鲤鱼vi. 吹毛求疵,挑剔"
carton,"n. 硬纸盒,纸板箱"
caterpillar,n. 毛虫
cathartic,"n. 泻药,通便药a. 通便的,导泻的"
cautiously,ad. 慎重地
census,n. 户口普查vt. 实施统计调查
confessional,"a. 自白的,忏悔的n.忏悔室,告解聆听席"
confrontation,"n. 对审,面对面,面对,对质"
congenial,"a. 同性质的,适意的,趣味相同的"
conic,"a. 圆锥的,圆锥形的"
consciously,"adv. 有意识地,自觉地"
consent,"n. 同意,许可vi. 同意,承诺"
conservationist,"n. 保护管理论者,保护主义者"
conservatism,"  a. 保守主义b. 保守性,保守的倾向"
consign,"vt. 交付,分配,委托,寄存"
contagious,"a. 传染性的,会蔓延的,会传播的"
contemplate,"vt. 注视,沉思,打算vi. 冥思苦想"
contemplation,"n. 注视,沉思,打算"
continental,"a. 大陆的,洲的n. 欧洲大陆人"
continuously,"ad. 不断地,连续地"
conundrum,"n. 谜,难题,谜样的人"
convene,"vt. 集合,召集,召唤vi. 聚集,集合"
convergence,"n. 集中,收敛"
convivial,"a. 酒宴的,欢宴的,欢乐的"
coordinate,"n. 同等的人物 ,坐标a. 同等的v. (使)协调"
corollary,"n. 系,推论,必然的结果"
cosmology,"n. 宇宙哲学,宇宙论"
deceit,"n. 欺骗,谎言"
deck,"n. 甲板,覆盖物vt. 装饰,打扮装甲板"
declaration,"n. 宣告,说明,宣布"
